n,window,nodes,clustering,in_sweet_spot
100,5,1133,0.06523175693178453,True
100,10,1133,0.04917532101151127,True
100,15,1133,0.04250954313794387,True
100,20,1133,0.03604061116870938,True
100,30,1133,0.029414280150991002,True
250,5,2238,0.03354870427595189,True
250,10,2238,0.023095983022490493,True
250,15,2238,0.018397170780935022,False
250,20,2238,0.016494409204237396,False
250,30,2238,0.013918657733489471,False
500,5,3066,0.024499774862445024,True
500,10,3066,0.014205356641383164,False
500,15,3066,0.012109515800651442,False
500,20,3066,0.01068722369906727,False
500,30,3066,0.009107228683657046,False
1000,5,4040,0.014996656733274735,False
1000,10,4040,0.010472897818729834,False
1000,15,4040,0.00910336806858119,False
1000,20,4040,0.00790462335730198,False
1000,30,4040,0.006498432065976789,False
2000,5,5309,0.01086127189868955,False
2000,10,5309,0.008639267826587093,False
2000,15,5309,0.006274161646810477,False
2000,20,5309,0.005087982109047853,False
2000,30,5309,0.004217742045222832,False
